Drill Listing
=============
Drill: .01969  Tool: 1  Feed: 95  Speed: 300
X 924409  Y 155118
X 914409  Y 155118
X 934409  Y 155118
X 944409  Y 155118
X 954409  Y 155118
X 934409  Y 185118
X 954409  Y 185118
X 944409  Y 185118
X 940708  Y 205826
X 950708  Y 205826
X 940708  Y 235826
X 950708  Y 235826
X 970708  Y 235826
X 960708  Y 235826
X 970708  Y 205826
X 960708  Y 205826
X 974409  Y 185118
X 964409  Y 185118
X 964409  Y 155118
X 974409  Y 155118
X 984409  Y 155118
X 994409  Y 155118
X 994409  Y 185118
X 984409  Y 185118
X 1130708  Y 235826
X 1120708  Y 235826
X 1110708  Y 235826
X 1130708  Y 205826
X 1110708  Y 205826
X 1120708  Y 205826
X 1134409  Y 155118
X 1144409  Y 155118
X 1154409  Y 155118
X 1144409  Y 185118
X 1134409  Y 185118
X 1154409  Y 185118
X 1150708  Y 205826
X 1140708  Y 205826
X 1150708  Y 235826
X 1140708  Y 235826
X 1170708  Y 235826
X 1160708  Y 235826
X 1180708  Y 235826
X 1180708  Y 205826
X 1170708  Y 205826
X 1160708  Y 205826
X 1164409  Y 185118
X 1174409  Y 185118
X 1164409  Y 155118
X 1174409  Y 155118
X 1184409  Y 155118
X 1194409  Y 155118
X 1204409  Y 155118
X 1194409  Y 185118
X 1204409  Y 185118
X 1184409  Y 185118
X 1190708  Y 205826
X 1200708  Y 205826
X 1200708  Y 235826
X 1190708  Y 235826
X 1220708  Y 235826
X 1230708  Y 235826
X 1210708  Y 235826
X 1220708  Y 205826
X 1210708  Y 205826
X 1230708  Y 205826
X 1224409  Y 185118
X 1214409  Y 185118
X 1214409  Y 155118
X 1224409  Y 155118
X 1254409  Y 155118
X 1244409  Y 155118
X 1234409  Y 155118
X 1234409  Y 185118
X 1244409  Y 185118
X 1254409  Y 185118
X 1240708  Y 205826
X 1240708  Y 235826
X 1264409  Y 185118
X 1264409  Y 155118
X 153149  Y 170511 X 153149  Y 159488
X 128937  Y 169527 X 128937  Y 160472
Drill: .03937  Tool: 4  Feed: 197  Speed: 550
X 166429  Y 158161
X 166429  Y 208161
X 168937  Y 270000
X 158937  Y 270000
X 148937  Y 270000
X 137598  Y 146496 X 146259  Y 146496
Drill: .05118  Tool: 5  Feed: 107  Speed: 550
X 253700  Y 120000
X 253937  Y 270000
X 267716  Y 270000
X 281496  Y 270000
X 295275  Y 270000
X 281259  Y 120000
X 267480  Y 120000
X 295039  Y 120000
X 322598  Y 120000
X 308818  Y 120000
X 350157  Y 120000
X 336377  Y 120000
X 309055  Y 270000
X 322834  Y 270000
X 336614  Y 270000
X 350393  Y 270000
X 364173  Y 270000
X 388937  Y 270000
X 402716  Y 270000
X 363937  Y 120000
X 402480  Y 120000
X 388700  Y 120000
X 430039  Y 120000
X 416259  Y 120000
X 443818  Y 120000
X 430275  Y 270000
X 444055  Y 270000
X 416496  Y 270000
X 457834  Y 270000
X 471614  Y 270000
X 485393  Y 270000
X 499173  Y 270000
X 471377  Y 120000
X 457598  Y 120000
X 498937  Y 120000
X 485157  Y 120000
X 523700  Y 120000
X 551259  Y 120000
X 537480  Y 120000
X 551496  Y 270000
X 523937  Y 270000
X 537716  Y 270000
X 565275  Y 270000
X 579055  Y 270000
X 592834  Y 270000
X 565039  Y 120000
X 578818  Y 120000
X 592598  Y 120000
X 620157  Y 120000
X 606377  Y 120000
X 633937  Y 120000
X 620393  Y 270000
X 634173  Y 270000
X 606614  Y 270000
X 658937  Y 270000
X 672716  Y 270000
X 686496  Y 270000
X 700275  Y 270000
X 700039  Y 120000
X 686259  Y 120000
X 658700  Y 120000
X 672480  Y 120000
X 713818  Y 120000
X 727598  Y 120000
X 755157  Y 120000
X 741377  Y 120000
X 714055  Y 270000
X 727834  Y 270000
X 741614  Y 270000
X 755393  Y 270000
X 769173  Y 270000
X 793937  Y 270000
X 793700  Y 120000
X 768937  Y 120000
X 807480  Y 120000
X 821259  Y 120000
X 848818  Y 120000
X 835039  Y 120000
X 807716  Y 270000
X 821496  Y 270000
X 835275  Y 270000
X 849055  Y 270000
X 862834  Y 270000
X 876614  Y 270000
X 890393  Y 270000
X 904173  Y 270000
X 890157  Y 120000
X 903937  Y 120000
X 862598  Y 120000
X 876377  Y 120000
X 928700  Y 120000
X 942480  Y 120000
X 928937  Y 270000
X 942716  Y 270000
X 956496  Y 270000
